Catergory,Model,Feature,Importance
Numeric,L-base,wt_loss,100
Factor,L-base,MBAA_no,29.80746
Factor,L-base,MBAA_yes,15.21848
Numeric,L-base,AUC_6,11.29843
Numeric,L-base,temp_5,5.6932
Numeric,L-All,wt_loss,100
Numeric,L-All,BnOB,55.89546
Numeric,L-All,temp_5,14.00929
Numeric,L-All,Lg,6.5578
Numeric,L-All,AUC_6,6.31142
Numeric,L-All,NT,4.49859
Numeric,L-All,Bn,3.97492
Factor,L-All,MBAA_no,2.66467
Factor,L-All,MBAA_yes,0.0273
Numeric,L-Tissue,BnOB,100
Numeric,L-Tissue,Lg,17.5227
Numeric,L-Tissue,Bn,11.0954
Numeric,L-Tissue,NT,8.8436
Factor,L-Tissue,MBAA_no,4.8502
Factor,L-Tissue,MBAA_yes,4.2333
